id,price,neighborhood,borough,accommodates,bathrooms,bedrooms,beds,review_scores_rating,number_of_reviews,listing_url
838397235092710900,NA,Midtown,Manhattan,2,NA,1,NA,NA,0,https://www.airbnb.com/rooms/838397235092710954
838398014030428300,162,Theater District,Manhattan,2,1,1,1,NA,0,https://www.airbnb.com/rooms/838398014030428314
838398909112953300,NA,Theater District,Manhattan,2,NA,1,NA,NA,0,https://www.airbnb.com/rooms/838398909112953315
838398942008603800,210,Midtown,Manhattan,2,1,1,1,NA,0,https://www.airbnb.com/rooms/838398942008603733
838399571553368400,162,Midtown,Manhattan,2,1,1,1,NA,0,https://www.airbnb.com/rooms/838399571553368478
838401104644859400,NA,Midtown,Manhattan,2,NA,1,NA,NA,0,https://www.airbnb.com/rooms/838401104644859332
838401473840672e3,231,Midtown,Manhattan,2,1,1,1,5,1,https://www.airbnb.com/rooms/838401473840672035
838401736384901100,NA,Midtown,Manhattan,2,NA,1,NA,NA,0,https://www.airbnb.com/rooms/838401736384901161
838401787970873e3,NA,Midtown,Manhattan,2,NA,1,NA,NA,0,https://www.airbnb.com/rooms/838401787970872996
838402320140844500,130,Throgs Neck,Bronx,4,1,2,2,4.78,45,https://www.airbnb.com/rooms/838402320140844604
838420711435488800,187,Upper East Side,Manhattan,4,1,1,2,NA,0,https://www.airbnb.com/rooms/838420711435488755
838435059333997800,75,East Flatbush,Brooklyn,4,1,1,2,4.75,24,https://www.airbnb.com/rooms/838435059333997811
838475540075168400,225,Midtown,Manhattan,2,1,1,1,NA,0,https://www.airbnb.com/rooms/838475540075168335
838494921072734200,119,Washington Heights,Manhattan,3,1,1,1,NA,0,https://www.airbnb.com/rooms/838494921072734198
838496790109927800,614,Williamsburg,Brooklyn,2,1,1,1,4.83,12,https://www.airbnb.com/rooms/838496790109927752
838556926143601700,195,Williamsburg,Brooklyn,2,1,1,1,NA,0,https://www.airbnb.com/rooms/838556926143601613
838593419945351300,280,Bushwick,Brooklyn,6,1,2,2,5,4,https://www.airbnb.com/rooms/838593419945351246
838643822112276e3,55,Williamsburg,Brooklyn,1,1,1,1,4.89,47,https://www.airbnb.com/rooms/838643822112275908
839002442072975100,165,Upper East Side,Manhattan,2,1,0,1,4,1,https://www.airbnb.com/rooms/839002442072975085
839011785416234800,135,Clinton Hill,Brooklyn,1,1,1,1,5,14,https://www.airbnb.com/rooms/839011785416234767
839016996293180700,175,Harlem,Manhattan,4,1,2,3,NA,0,https://www.airbnb.com/rooms/839016996293180615
839034010728630100,45,Bushwick,Brooklyn,1,1,1,1,5,2,https://www.airbnb.com/rooms/839034010728630188
839138896528698200,200,St. Albans,Queens,4,1,1,1,4.57,7,https://www.airbnb.com/rooms/839138896528698210
839158506527320300,145,Flushing,Queens,4,1,2,3,4.93,15,https://www.airbnb.com/rooms/839158506527320267
839202248765293600,200,Little Italy,Manhattan,2,1,1,1,NA,0,https://www.airbnb.com/rooms/839202248765293617
839214509166617500,101,Bushwick,Brooklyn,2,1,1,1,5,2,https://www.airbnb.com/rooms/839214509166617431
839233785270413800,40,Far Rockaway,Queens,2,1,1,2,NA,0,https://www.airbnb.com/rooms/839233785270413877
839331256860792700,72,Fresh Meadows,Queens,2,1,1,2,4.79,19,https://www.airbnb.com/rooms/839331256860792652
839363985423930900,129,Crown Heights,Brooklyn,1,1,1,1,4.95,21,https://www.airbnb.com/rooms/839363985423930842
839373823395998500,150,Rosedale,Queens,2,1,1,2,4.3,23,https://www.airbnb.com/rooms/839373823395998459
839415800079955100,324,Upper West Side,Manhattan,2,1,1,2,4.71,41,https://www.airbnb.com/rooms/839415800079955074
839542253443554400,NA,Jackson Heights,Queens,2,NA,NA,NA,5,1,https://www.airbnb.com/rooms/839542253443554475
839607315156742900,NA,Jackson Heights,Queens,2,NA,NA,NA,NA,0,https://www.airbnb.com/rooms/839607315156742936
839728752538060500,125,Park Slope,Brooklyn,2,1,1,1,NA,0,https://www.airbnb.com/rooms/839728752538060549
839814083143454200,350,Bull's Head,Staten Island,8,2.5,3,4,NA,0,https://www.airbnb.com/rooms/839814083143454171
839823059244447500,NA,Williamsburg,Brooklyn,1,NA,NA,NA,NA,0,https://www.airbnb.com/rooms/839823059244447532
839832783319798300,195,Canarsie,Brooklyn,5,1,2,2,4.96,26,https://www.airbnb.com/rooms/839832783319798273
839839486162945400,NA,Crown Heights,Brooklyn,4,NA,1,NA,5,1,https://www.airbnb.com/rooms/839839486162945362
839869959904972500,230,East Elmhurst,Queens,6,2,3,3,4.83,29,https://www.airbnb.com/rooms/839869959904972558
839890870797460500,50,Fort Greene,Brooklyn,2,1,1,1,4,1,https://www.airbnb.com/rooms/839890870797460528
839904583057491100,103,Bull's Head,Staten Island,2,1,1,2,4.92,12,https://www.airbnb.com/rooms/839904583057491087
839929647945498100,NA,Kips Bay,Manhattan,1,NA,NA,NA,4.63,8,https://www.airbnb.com/rooms/839929647945498049
839962384749987600,90,Ridgewood,Queens,2,1,1,1,4.14,7,https://www.airbnb.com/rooms/839962384749987633
840031550426599600,68,College Point,Queens,1,1,1,1,4.85,13,https://www.airbnb.com/rooms/840031550426599515
